algo,problem,group,M,D,run,IGD,HV,runtime
IVFNSGAII,DTLZ2,DTLZ,3,12,4002,0.07231883073483031,0.5341662344736172,2.463522999999998
IVFNSGAII,DTLZ2,DTLZ,3,12,4003,0.06807102008709658,0.52536303754746,2.651795000000001
IVFNSGAII,DTLZ2,DTLZ,3,12,4004,0.06940082255241964,0.5327928240149031,2.487063999999999
IVFNSGAII,DTLZ2,DTLZ,3,12,4005,0.06678618435862718,0.5337000625891404,2.799085000000004
IVFNSGAII,DTLZ2,DTLZ,3,12,4006,0.07300769459391893,0.5282392633229228,2.6070419999999985
IVFNSGAII,DTLZ2,DTLZ,3,12,4007,0.06823112978109161,0.5297205674503112,1.6906889999999992
IVFNSGAII,DTLZ2,DTLZ,3,12,4008,0.07050514008308409,0.5399324933441922,2.4046149999999984
IVFNSGAII,DTLZ2,DTLZ,3,12,4009,0.06616325965262695,0.5412330055550155,2.6291990000000007
IVFNSGAII,DTLZ2,DTLZ,3,12,4010,0.06539026953445563,0.5365692247226974,2.611097999999998
IVFNSGAII,DTLZ2,DTLZ,3,12,4011,0.07248977729786747,0.5327160192770958,2.5489429999999964
IVFNSGAII,DTLZ2,DTLZ,3,12,4012,0.06677941553763503,0.5395301520232864,2.162918999999998
IVFNSGAII,DTLZ2,DTLZ,3,12,4013,0.06754511086668484,0.5407803632412693,2.0656600000000007
IVFNSGAII,DTLZ2,DTLZ,3,12,4014,0.06951042656263605,0.5301710589730049,2.6261520000000034
IVFNSGAII,DTLZ2,DTLZ,3,12,4015,0.06934194475271313,0.5331695485530084,2.325527000000002
IVFNSGAII,DTLZ2,DTLZ,3,12,4016,0.07029584143099758,0.5298422952622859,2.3398149999999998
IVFNSGAII,DTLZ2,DTLZ,3,12,4017,0.06845533347571081,0.5351142272290179,2.601465000000002
IVFNSGAII,DTLZ2,DTLZ,3,12,4018,0.07042660988094919,0.529547417449077,2.8098380000000036
IVFNSGAII,DTLZ2,DTLZ,3,12,4019,0.0693600674676279,0.5232513930248702,2.3765350000000023
IVFNSGAII,DTLZ2,DTLZ,3,12,4020,0.07160867566962337,0.525516018327052,2.596768000000003
